step,R_mean,R_std
129,3.053936064243317e-05,1.4297672663397148e-05
130,2.077917754650116e-05,1.9871994853019714e-05
131,3.093892708420753e-05,1.162830641327994e-05
132,2.1799864868323008e-05,1.365733623696852e-05
133,2.1988570690155028e-05,1.503625512123108e-05
134,3.3765174448490144e-05,9.14739817380905e-06
135,1.901486764351527e-05,1.148558431637709e-05
136,3.608324378728867e-05,1.8670782446861252e-06
137,3.4891982213594016e-05,4.064606076792294e-05
138,2.254105731844902e-05,1.0064514206625083e-05
139,5.220453441143036e-05,3.097592350653469e-05
140,2.9264604672789575e-05,4.082846902341318e-05
141,3.962333034723997e-05,3.135936483909803e-05
142,5.34700907766819e-05,4.497249222242924e-05
143,3.8556028902530666e-05,3.3809230684992655e-05
144,4.821726990242799e-05,4.212212495293305e-05
145,5.0547630339860924e-05,2.8122519997902325e-05
146,5.66109079268894e-05,4.076640186438585e-05
147,4.0367480988303814e-05,3.671202577720597e-05
148,5.5658524041064084e-05,2.8637786478812997e-05
149,4.992764132718245e-05,4.4390792399792626e-05
150,7.15084980474785e-05,3.517207210775811e-05
151,4.881931111837427e-05,3.8503999737147126e-05
152,9.203917958906719e-05,2.5408972991498103e-05
153,4.1066776561949933e-05,3.7044027805017715e-05
154,8.026162616442891e-05,3.102445145494915e-05
155,4.085697632815157e-05,3.606539757379156e-05
156,8.752686798106879e-05,3.1805053876225656e-05
157,4.0611275571531483e-05,3.913142064279072e-05
158,9.200616227462887e-05,3.3018547330215345e-05
159,5.861919317394495e-05,3.797813779993739e-05
160,9.426992712542415e-05,4.0708695020149266e-05
161,6.658890694379806e-05,4.177377770939721e-05
162,8.38830224238336e-05,4.0947495689217435e-05
163,5.030893767252565e-05,5.519374526094973e-05
164,8.559849964720862e-05,3.459484893336087e-05
165,7.333180414778846e-05,5.754089780120441e-05
166,8.658237693210443e-05,3.039633302639494e-05
167,8.16390886902809e-05,4.325108037149853e-05
168,6.652284599840642e-05,4.879863999281098e-05
169,8.563624881207944e-05,4.788709771365755e-05
170,4.9514995023076026e-05,4.374892871563829e-05
171,8.205980393621658e-05,4.6350845755298554e-05
172,4.914503109951814e-05,4.2278773072978636e-05
173,9.64399204692907e-05,5.738318989047016e-05
174,5.883828401565551e-05,3.77458308990153e-05
175,8.754829995127188e-05,5.2982638289219095e-05
176,6.913021951913834e-05,2.7738373834693508e-05
177,8.208667783401324e-05,4.3670018648999046e-05
178,6.179238110780716e-05,3.683229975686889e-05
179,7.062369253253564e-05,4.447653075569142e-05
180,6.78995093330741e-05,4.341194096528559e-05
181,6.831904035061599e-05,4.7545502028226736e-05
182,7.85090890713036e-05,4.0512175533216205e-05
183,6.128865613469057e-05,5.4058152161676566e-05
184,8.688889141194523e-05,3.9139432913644066e-05
185,5.7735230773687366e-05,6.203172106688665e-05
186,9.371093800291419e-05,3.974402100267833e-05
187,5.698097656880106e-05,7.402802692308516e-05
188,9.920019190758467e-05,4.2871876888643325e-05
189,5.0159683761497345e-05,4.505911559073106e-05
190,0.0001234097150819642,3.245184093990803e-05
191,6.129518751986326e-05,4.844089927960794e-05
192,0.00013308664038777352,4.4192111354437945e-05
193,7.994758673012255e-05,7.709768442701659e-05
194,0.00014653439074754717,6.8469296795944e-05
195,8.240854072209914e-05,4.471246104052085e-05
196,0.00018386418053082057,0.00014103842323479434
197,0.0001111586784827523,8.0558603855951e-05
198,0.00013878980944199222,4.788448940153031e-05
199,0.00013244137313449754,0.000117038717459618
200,0.00015623063061918533,6.634287404970576e-05
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,,
461,,
462,,
463,,
464,,
465,,
466,,
467,,
468,,
469,,
470,,
471,,
472,,
473,,
474,,
475,,
476,,
477,,
478,,
479,,
480,,
481,,
482,,
483,,
484,,
485,,
486,,
487,,
488,,
489,,
490,,
491,,
492,,
493,,
494,,
495,,
496,,
497,,
498,,
499,,
500,,
